,Country,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
38416,ru,surazh,53.017469999999996,32.391782,32.94,96,88,19.48
13744,gr,kholargos,38.0,23.8,59,51,40,14.99
13585,gr,gazion,35.3333333,25.0666667,60.8,77,20,5.82
33357,ro,jina,45.783333,23.683332999999998,44.6,93,92,2.15
27020,ph,amadeo,14.170556,120.92361100000001,87.8,52,20,8.05
31736,pt,porto de mos,39.601911,-8.818389,57.2,93,75,9.17
2887,br,feira de santana,-12.25,-38.95,76.77,90,44,4.16
19597,in,theog,31.116667,77.35,52.2,26,8,2.26
22585,lu,schuttrange,49.6205556,6.268611099999999,42.8,93,92,14.99
29245,ph,new cebu,7.0952779999999995,125.03361100000001,87.8,58,20,11.41
32339,ro,blajani,45.316666999999995,26.816667,39.6,94,76,2.26
1190,ba,puracic,44.546944399999994,18.4766667,41,86,0,2.24
27979,ph,cuyo,10.8525,121.00861100000002,81.45,99,36,19.26
46636,za,messina,-22.351308,30.039596999999997,70.29,92,80,13.22
11536,fr,conflans-sainte-honorine,49.001575,2.0969450000000003,46,81,90,14.99
35688,ru,dergachi,51.2328,48.7659,-11.44,38,0,4.83
11431,fr,bollene,44.28476,4.75303,38.1,93,0,3.36
2354,br,aracati,-4.566667,-37.766667,78.12,80,88,5.84
9133,de,korbach,51.283333,8.866667,46.4,81,40,13.87
31689,pt,mozelos,41.866667,-8.4,46.4,100,75,9.17
31574,pt,corroios,38.645022999999995,-9.148431,57.2,100,40,10.29
13327,gr,adendron,40.6716667,22.6044444,48.2,87,20,5.82
27981,ph,da-an,11.2322,122.4207,75.87,94,92,6.96
4407,bz,san ignacio,17.1561111,-89.0713889,77.31,80,32,3.71
9661,de,sondershausen,51.366667,10.866667,44.6,87,75,12.75
12006,fr,saint-etienne-du-rouvray,49.377941,1.104673,45.21,87,90,13.87
20878,it,rubano,45.433333000000005,11.783333,45.46,93,75,2.24
7131,co,ovejas,9.532482,-75.22381999999999,79.47,86,8,10.87
40967,tz,magugu,-4.0166667,35.7666667,62.64,100,92,3.15
26281,nz,riwaka,-41.083333,173.0,64.98,85,0,10.76
24583,mx,tecalitlan,19.466667,-103.3,71.6,68,5,1.03
12383,gb,carnoustie,56.5,-2.7166669999999997,39.2,93,90,2.24
25077,my,sungai pelek,2.6460000000000004,101.7222,88.39,59,75,3.36
45278,us,elizabethtown,40.1527778,-76.6030556,32.52,86,90,11.41
34365,ro,storobaneasa,43.883333,25.45,49.5,94,92,9.42
22896,mk,novo selo,41.413888899999996,22.881111100000002,42.93,95,32,1.59
6532,cn,zhenlai,45.849548999999996,123.297296,32.13,100,12,15.01
46047,us,south hill,47.141388899999995,-122.2688889,60.62,36,1,8.75
8102,cz,marianske lazne,49.960196999999994,12.700682,43.48,86,75,5.82
2001,bg,madan,41.5,24.95,49.23,99,48,4.05
13353,gr,alexandria,40.6266667,22.4441667,48.2,87,20,5.82
40885,tz,ikwiriri,-7.9833333,39.0166667,69.84,96,48,2.37
6846,co,el tambo,2.451994,-76.810288,58.05,81,48,1.92
11839,fr,montceau-les-mines,46.666667,4.366667,44.6,75,92,8.05
4472,ca,bonaventure,48.05,-65.466667,26.6,92,5,3.36
43049,us,buford,34.1205556,-84.0044444,40.21,64,75,5.82
25083,my,tanah merah,5.8,102.15,84.2,79,75,6.93
30981,pk,sukkur,27.705164,68.857383,70.83,44,0,3.38
1082,ba,derventa,44.9772222,17.910277800000003,41,93,0,2.24
14910,hn,francia,15.85,-85.58333329999999,71.37,82,20,1.7
