,Country,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
12007,fr,saint-etienne,45.435382000000004,4.391051,45.84,56,0,8.05
44278,us,columbia,38.951666700000004,-92.3338889,34.92,51,1,10.29
14150,gr,plomarion,38.9766667,26.368055600000005,60.8,82,40,16.11
15593,hu,gyor,47.687281,17.637616,43.99,100,0,6.93
27913,ph,claveria,12.9035,123.2457,82.95,96,36,13
33349,ro,jibert,46.0,25.066667000000002,44.07,92,92,6.85
14895,hn,el socorro,14.633333300000002,-87.91666670000001,75.2,69,1,16.11
2650,br,canutama,-6.533333,-64.333333,75.75,96,36,3.04
6759,co,colombia,3.376064,-74.80149499999999,68.91,58,32,1.7
7155,co,paramo,6.416389,-73.17,62.52,80,68,2.15
42446,us,novato,38.1075,-122.5686111,59.99,100,90,11.41
34525,ro,traian,46.633333,27.033333000000002,44.6,100,90,6.93
2669,br,carapicuiba,-23.516667,-46.833333,72.23,88,90,3.36
6648,co,boavita,6.33031,-72.58505,47.67,83,12,1.81
38337,ru,starobaltachevo,56.00131700000001,55.921310999999996,2.85,95,32,4.5
29065,ph,masaguisi,12.75452,121.448415,84.3,58,8,5.39
398,am,vardablur,40.95,44.466666700000005,28.4,79,0,1.12
8388,cz,vizovice,49.221403,17.853332,42.78,100,90,2.24
44388,us,las vegas,36.175,-115.1363889,62.28,59,40,5.82
34406,ro,suseni,46.816666999999995,24.75,46.4,93,92,2.24
20878,it,rubano,45.433333000000005,11.783333,45.46,93,75,2.24
11858,fr,morlaix,48.58733,-3.8250050000000004,40.98,86,20,8.05
45675,us,hewitt,31.4622222,-97.19555559999999,45.39,79,1,2.82
25565,nl,hellendoorn,52.391055,6.4507650000000005,45.72,100,90,8.05
4418,ca,alfred,45.55,-74.866667,31.3,89,90,6.93
32684,ro,ciugud,46.05,23.616667,43.68,93,90,3.04
23887,mx,huiloac,19.4,-98.15,45.6,93,12,1.81
34736,ro,vladeni,47.716667,26.516666999999998,42.8,100,90,5.82
39783,sl,rokupr,8.6716667,-12.395,75.66,91,64,2.93
17657,in,faridabad,28.433333,77.31666700000001,80.6,47,0,4.7
16426,id,panarukan,-7.7008,113.9529,74.85,98,92,3.27
18858,in,okha,22.469444,69.060556,78.9,88,0,9.86
25576,nl,hoorn,52.649035,5.063112,40.98,100,75,11.41
14889,hn,el rincon,14.583333300000001,-87.9333333,75.2,69,1,16.11
40609,tr,islahiye,37.025,36.630556,46.4,93,0,4.7
19725,in,vandavasi,12.5,79.616667,87.45,56,36,4.5
28440,ph,katangawan,6.172712000000001,125.218695,91.41,42,0,3.04
24463,mx,san nicolas de los garza,25.75,-100.3,52.63,41,75,5.82
23736,mx,dulce grande,23.0,-102.166667,53.61,50,0,7.4
32278,ro,beceni,45.383333,26.783333000000002,42.45,96,92,1.36
36774,ru,lechinkay,43.564721999999996,43.432778000000006,26.6,100,90,2.24
9674,de,stadthagen,52.316666999999995,9.2,47.77,87,75,12.75
11047,es,sueca,39.2,-0.31666700000000003,51.8,71,20,3.38
32717,ro,comana,43.9,28.316667,44.6,100,75,12.75
21616,jp,nagayo,32.816666999999995,129.883333,63.03,55,40,1.12
44221,us,white bear lake,45.0847222,-93.00972220000001,29.23,58,1,12.75
9308,de,moers,51.45,6.65,46.4,93,75,16.11
18870,in,padampur,20.983333,83.06666700000001,92.31,41,0,4.38
7696,cu,cumanayagua,22.1494444,-80.20222220000001,70.63,94,92,4.7
44145,us,chaska,44.789444399999994,-93.60194440000001,28.27,74,1,9.17
12596,gb,hatfield,53.566667,-0.983333,40.32,100,90,5.82
30026,ph,santa catalina,16.0835,120.6116,86.01,47,8,3.71
36324,ru,khuzhir,53.193889,107.339722,12.39,74,0,8.97
5236,cf,ouadda,8.0666667,22.4,76.65,68,12,6.73
2405,br,assare,-6.866667,-39.866667,71.43,95,56,3.38
26747,pe,pueblo nuevo,-7.188055599999999,-79.51527779999999,68,88,0,3.36
46804,zw,beitbridge,-22.216666699999998,30.0,72.33,83,56,14.12
42941,us,opa-locka,25.901944399999998,-80.2505556,57.88,76,1,14.99
19330,in,saundatti yellamma,15.783332999999999,75.116667,91.23,29,0,10.65
14214,gr,selianitika,38.283333299999995,22.033333300000002,51.8,93,40,4.7
22832,mg,vavatenina,-17.466666699999998,49.2,73.77,98,92,4.16
43689,us,houlton,46.1261111,-67.8408333,27.61,86,1,3.36
5948,cn,foshan,23.026771,113.131483,77,50,20,4.47
42414,us,martinez,38.0194444,-122.13305559999999,60.67,82,1,5.82
